PM1.0,PM2.5,PM10,D.3,D.5,D1.0,D2.5,D5.0,D10,T,H
68,88,97,11253,3449,433,26,11,4,19.50,49.80
68,88,97,11253,3449,433,26,11,4,19.50,49.70
68,88,97,11253,3449,433,26,11,4,19.40,49.60
70,90,98,11337,3492,461,26,10,4,19.40,49.70
70,90,98,11337,3492,461,26,10,4,19.40,49.80
70,90,98,11337,3492,461,26,10,4,19.50,49.70
70,89,97,11370,3507,459,23,9,4,19.40,49.70
70,89,97,11370,3507,459,23,9,4,19.40,49.70
70,89,97,11370,3507,459,23,9,4,19.50,49.70
69,88,96,11244,3460,464,25,9,3,19.50,49.70
69,88,96,11244,3460,464,25,9,3,19.40,49.70
70,89,97,11244,3460,464,25,9,3,19.50,49.70
72,92,101,11460,3530,474,30,12,4,19.40,49.70
72,92,101,11460,3530,474,30,12,4,19.40,49.70
72,92,101,11460,3530,474,30,12,4,19.50,49.70
71,90,99,11511,3537,471,30,12,4,19.40,49.70
71,90,99,11511,3537,471,30,12,4,19.50,49.60
71,90,99,11511,3537,471,30,12,4,19.50,49.70
73,91,100,11577,3552,471,28,11,4,19.50,49.70
73,91,100,11577,3552,471,28,11,4,19.50,49.60
73,91,100,11577,3552,471,28,11,4,19.40,49.70
71,89,97,11541,3544,471,23,10,4,19.50,49.60
71,89,97,11541,3544,471,23,10,4,19.50,49.60
71,89,97,11541,3544,471,23,10,4,19.40,49.60
73,90,95,11448,3534,473,19,6,1,19.40,49.60
73,90,95,11448,3534,473,19,6,1,19.40,49.60
73,90,95,11448,3534,473,19,6,1,19.50,49.70
71,88,92,11466,3523,461,19,5,1,19.50,49.60
71,88,92,11466,3523,461,19,5,1,19.50,49.60
71,88,92,11466,3523,461,19,5,1,19.50,49.60
72,90,94,11676,3590,459,22,5,1,19.50,49.60
74,93,98,11628,3559,443,26,5,1,19.50,49.60
73,93,97,11622,3530,448,26,5,1,19.50,49.50
74,93,98,11778,3586,444,22,5,1,19.50,49.60
73,91,94,11886,3615,451,18,3,0,19.50,49.60
74,92,96,11943,3630,459,21,6,0,19.50,49.60
75,93,98,12174,3710,455,21,9,1,19.50,49.60
77,95,103,12504,3798,460,25,12,1,19.50,49.60
78,96,104,12777,3858,460,25,12,1,19.50,49.70
81,100,108,13068,3972,485,25,13,1,19.50,49.60
81,100,110,13236,4006,487,27,16,1,19.50,49.60
83,101,111,13512,4101,489,23,16,1,19.50,49.60
85,104,114,13809,4210,511,24,16,1,19.50,49.70
85,104,114,13809,4210,511,24,16,1,19.40,49.60
85,104,114,13809,4210,511,24,16,1,19.40,49.70
87,105,115,13989,4266,520,23,15,1,19.50,49.60
88,106,116,13989,4266,520,23,15,1,19.50,49.80
88,106,116,13989,4266,520,23,15,1,19.50,49.60
88,106,115,13992,4261,512,22,14,1,19.50,49.50
88,106,115,13992,4261,512,22,14,1,19.50,49.70
88,106,115,13992,4261,512,22,14,1,19.50,49.50
89,108,115,14211,4324,510,22,12,1,19.50,49.60
89,108,115,14211,4324,510,22,12,1,19.50,49.50
89,108,115,14211,4324,510,22,12,1,19.50,49.70
91,111,119,14508,4406,521,24,12,3,19.50,49.50
91,111,119,14508,4406,521,24,12,3,19.50,49.60
91,111,119,14508,4406,521,24,12,3,19.50,49.60
91,112,118,14586,4430,521,24,9,3,19.50,49.60
91,112,118,14586,4430,521,24,9,3,19.50,49.60
91,112,118,14586,4430,521,24,9,3,19.50,49.50
92,111,116,14487,4416,521,23,8,3,19.50,49.60
90,109,114,14370,4362,509,21,8,3,19.50,49.60
90,110,114,14367,4372,514,17,5,3,19.50,49.60
91,111,115,14496,4403,528,16,5,3,19.50,49.50
91,112,115,14577,4430,515,18,5,3,19.50,49.60
91,112,117,14571,4434,520,19,6,4,19.50,49.60
92,115,120,14664,4478,537,24,7,5,19.50,49.70
92,115,120,14634,4470,542,22,7,6,19.50,49.60
89,111,114,14367,4395,531,17,4,3,19.50,49.60
89,111,114,14301,4385,545,12,4,3,19.50,49.70
90,114,117,14490,4445,560,13,4,3,19.50,49.50
93,117,122,14745,4527,574,20,6,3,19.50,49.60
92,115,120,14535,4460,558,22,7,4,19.50,49.60
92,115,122,14541,4472,564,25,8,4,19.50,49.60
92,115,123,14478,4450,577,23,9,4,19.50,49.60
92,117,124,14607,4489,587,27,9,4,19.50,49.60
